,Year 5,Year 4,Year 3,Year 2,Year 1
YoY % in stock price,-0.85542169,0.16083916,1.38333333,-0.07692308,-0.42982456
market cap based on Jun's data,87.756,609.9877,414.2352,172.29,187.2812
90-days stock vol,1.05035,0.39215,0.60221,0.48373,0.46791
Trading volume,83.328,552.748875,402.212525,106.2285,201.088875
Total asset,308.878,502.414,511.82,360.609,214.423
Diluted EPS,-10.08,-3.19,0.86,0.905,1.025
Liability / assets,1.49923918,0.71125407,0.75455824,0.71832095,0.62379036
equity / assets,-0.49923918,0.28874593,0.24544176,0.28167905,0.37620964
Cash / asset,0.00283607,0.00955785,0.00996444,0.01621146,0.00460771
Current ratio,0.23214103,0.80702549,1.77464611,1.05672272,1.05149964
Inventory / sales,0,0,0,0.00173791,0.00734242
Net debt/EBITDA,5.26743767,3.13275175,3.40495047,2.12598855,1.06280847
A/P / Sales,0.19650825,0.28657037,0.22352451,0.13217695,0.12926637
A/R / Sales,0.29595679,0.29103216,0.2805814,0.12901448,0.13572794
ROE,1.92290732,-0.63474874,0.15818885,0.20975427,0.29946199
ROA,-0.95999068,-0.18328112,0.03882615,0.05908338,0.11266049
Sales/total assets,0.3998051,0.27434944,0.21104099,1.24779193,1.59363967
Net income margin,-2.40114664,-0.6680572,0.18397445,0.04735035,0.07069383
EBIT/Sale,0.14451256,0.22681863,0.3984354,0.07978621,0.11299541
EBITDA/Sale,0.62947097,0.66613464,0.8299588,0.16692409,0.17076318
EBITDA/ Assets,0.25166571,0.18275367,0.17515533,0.20828654,0.27213499
Total debt/ EBITDA,5.27870687,3.18505086,3.46183964,2.20382106,1.0797402
WC/ Asset,-0.46127274,-0.02459127,0.06008948,0.01013009,0.01234009
Price to book ratio,-0.5690903,4.20478183,3.29747337,1.69616839,2.32162939
real GDP growth,0.04481405,0.04447221,0.03772504,0.02684285,0.04028831
Inflation,0.01552279,0.0233769,0.02931204,0.0280542,0.02607442
Unemployment,0.04508333,0.0495,0.05416667,0.05608333,0.06083333
